"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 04 15:06:18 GMT 2024","Sun Feb 04 15:06:39 GMT 2024","20593","GenericSpecification","E2ETest","","E2ETest","UI POC test","UI POC test",""
"passed","Sun Feb 04 15:06:41 GMT 2024","Sun Feb 04 15:06:42 GMT 2024","271","GenericSpecification","PostsTest","","PostsTest","Given: posts exists; When: posts are queried; Then: all posts returned ","Given: posts exists; When: posts are queried; Then: all posts returned ",""
"passed","Sun Feb 04 15:06:42 GMT 2024","Sun Feb 04 15:06:42 GMT 2024","138","GenericSpecification","UsersTest","","UsersTest","Given: user Leanne Graham exists; When: an existing user Leanne Graham is queried; Then: correct response is returned","Given: user Leanne Graham exists; When: an existing user Leanne Graham is queried; Then: correct response is returned","Some detailed info"
"passed","Sun Feb 04 15:06:42 GMT 2024","Sun Feb 04 15:06:42 GMT 2024","135","GenericSpecification","UsersTest","","UsersTest","Given: user Clementine Bauch exists; When: an existing user Clementine Bauch is queried; Then: correct response is returned","Given: user Clementine Bauch exists; When: an existing user Clementine Bauch is queried; Then: correct response is returned","Some detailed info"
"passed","Sun Feb 04 15:06:39 GMT 2024","Sun Feb 04 15:06:41 GMT 2024","2466","GenericSpecification","PostsTest","","PostsTest","Given: a post exists; When: a post is queried; Then: correct response is returned ","Given: a post exists; When: a post is queried; Then: correct response is returned ",""
"passed","Sun Feb 04 15:06:42 GMT 2024","Sun Feb 04 15:06:42 GMT 2024","102","GenericSpecification","UsersTest","","UsersTest","Given: user Ervin Howell exists; When: an existing user Ervin Howell is queried; Then: correct response is returned","Given: user Ervin Howell exists; When: an existing user Ervin Howell is queried; Then: correct response is returned","Some detailed info"
"passed","Sun Feb 04 15:06:42 GMT 2024","Sun Feb 04 15:06:42 GMT 2024","126","GenericSpecification","UsersTest","","UsersTest","Given: users exist, When: all users are queried; Then: all users are returned","Given: users exist, When: all users are queried; Then: all users are returned",""
